ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR,...2,...3,...4
Valores de las variables,NA,NA,NA
NA,NA,NA,NA
Código,Descripción del código,Valor,Etiqueta
NA,NA,NA,NA
DATOS DE REGISTRO,NA,NA,NA
NA,NA,NA,NA
AÑO_EMISION,Año de emisión o registro de la denuncia en las fuentes de información,2022,2022
NA,NA,NA,NA
MES_EMISION,Mes de emisión o registro de la denuncia,1,Enero
NA,NA,2,Febrero
NA,NA,3,Marzo
NA,NA,4,Abril
NA,NA,5,Mayo
NA,NA,6,Junio
NA,NA,7,Julio
NA,NA,8,Agosto
NA,NA,9,Septiembre
NA,NA,10,Octubre
NA,NA,11,Noviembre
NA,NA,12,Diciembre
NA,NA,NA,NA
DIA_EMISION,Día de emisión o registro de la denuncia,1 a 31,Día de registro
NA,NA,NA,NA
DEPTO_MCPIO,Departamento y municipio de registro,101,Guatemala
NA,NA,102,Santa Catarina Pinula
NA,NA,103,San José Pinula
NA,NA,104,San José del Golfo
NA,NA,105,Palencia
NA,NA,106,Chinautla
NA,NA,107,San Pedro Ayampuc
NA,NA,108,Mixco
NA,NA,109,San Pedro Sacatepéquez
NA,NA,110,San Juan Sacatepéquez
NA,NA,111,San Raymundo
NA,NA,112,Chuarrancho
NA,NA,113,Fraijanes
NA,NA,114,Amatitlán
NA,NA,115,Villa Nueva
NA,NA,116,Villa Canales
NA,NA,117,Petapa
NA,NA,201,Guastatoya
NA,NA,202,Morazán
NA,NA,203,San Agustín Acasaguastlán
NA,NA,204,San Cristóbal Acasaguastlán
NA,NA,205,El Jícaro
NA,NA,206,Sansare
NA,NA,207,Sanarate
NA,NA,208,San Antonio La Paz
NA,NA,301,Antigua Guatemala
NA,NA,302,Jocotenango
NA,NA,303,Pastores
NA,NA,304,Sumpango
NA,NA,305,Santo Domingo Xenacoj
NA,NA,306,Santiago Sacatepéquez
NA,NA,307,San Bartolomé Milpas Altas
NA,NA,308,San Lucas Sacatepéquez
NA,NA,309,Santa Lucía Milpas Altas
NA,NA,310,Magdalena Milpas Altas
NA,NA,311,Santa María de Jesús
NA,NA,312,Ciudad Vieja
NA,NA,313,San Miguel Dueñas
NA,NA,314,Alotenango
NA,NA,315,San Antonio Aguas Calientes
NA,NA,316,Santa Catarina Barahona
NA,NA,401,Chimaltenango
NA,NA,402,San José Poaquil
NA,NA,403,San Martín Jilotepeque
NA,NA,404,Comalapa
NA,NA,405,Santa Apolonia
NA,NA,406,Tecpán Guatemala
NA,NA,407,Patzún
NA,NA,408,Pochuta
NA,NA,409,Patzicía
NA,NA,410,Santa Cruz Balanyá
NA,NA,411,Acatenango
NA,NA,412,Yepocapa
NA,NA,413,San Andrés Itzapa
NA,NA,414,Parramos
NA,NA,415,Zaragoza
NA,NA,416,El Tejar
NA,NA,501,Escuintla
NA,NA,502,Santa Lucía Cotzumalguapa
NA,NA,503,La Democracia
NA,NA,504,Siquinalá
NA,NA,505,Masagua
NA,NA,506,Tiquisate
NA,NA,507,La Gomera
NA,NA,508,Guanagazapa
NA,NA,509,San José
NA,NA,510,Iztapa
NA,NA,511,Palín
NA,NA,512,San Vicente Pacaya
NA,NA,513,Nueva Concepción
NA,NA,514,Sipacate
NA,NA,601,Cuilapa
NA,NA,602,Barberena
NA,NA,603,Santa Rosa de Lima
NA,NA,604,Casillas
NA,NA,605,San Rafael Las Flores
NA,NA,606,Oratorio
NA,NA,607,San Juan Tecuaco
NA,NA,608,Chiquimulilla
NA,NA,609,Taxisco
NA,NA,610,Santa María Ixhuatán
NA,NA,611,Guazacapán
NA,NA,612,Santa Cruz Naranjo
NA,NA,613,Pueblo Nuevo Viñas
NA,NA,614,Nueva Santa Rosa
NA,NA,701,Sololá
NA,NA,702,San José Chacayá
NA,NA,703,Santa María Visitación
NA,NA,704,Santa Lucía Utatlán
NA,NA,705,Nahualá
NA,NA,706,Santa Catarina Ixtahuacán
NA,NA,707,Santa Clara La Laguna
NA,NA,708,Concepción
NA,NA,709,San Andrés Semetabaj
NA,NA,710,Panajachel
NA,NA,711,Santa Catarina Palopó
NA,NA,712,San Antonio Palopó
NA,NA,713,San Lucas Toliman
NA,NA,714,Santa Cruz La Laguna
NA,NA,715,San Pablo La Laguna
NA,NA,716,San Marcos La Laguna
NA,NA,717,San Juan La Laguna
NA,NA,718,San Pedro La Laguna
NA,NA,719,Santiago Atitlán
NA,NA,801,Totonicapán
NA,NA,802,San Cristóbal Totonicapán
NA,NA,803,San Francisco El Alto
NA,NA,804,San Andrés Xecul
NA,NA,805,Momostenango
NA,NA,806,Santa María Chiquimula
NA,NA,807,Santa Lucía La Reforma
NA,NA,808,San Bartolo
NA,NA,901,Quetzaltenango
NA,NA,902,Salcajá
NA,NA,903,Olintepeque
NA,NA,904,San Carlos Sija
NA,NA,905,Sibilia
NA,NA,906,Cabricán
NA,NA,907,Cajolá
NA,NA,908,San Miguel Siguilá
NA,NA,909,Ostuncalco
NA,NA,910,San Mateo
NA,NA,911,Concepción Chiquirichapa
NA,NA,912,San Martín Sacatepéquez
NA,NA,913,Almolonga
NA,NA,914,Cantel
NA,NA,915,Huitán
NA,NA,916,Zunil
NA,NA,917,Colomba
NA,NA,918,San Francisco La Unión
NA,NA,919,El Palmar
NA,NA,920,Coatepeque
NA,NA,921,Génova
NA,NA,922,Flores Costa Cuca
NA,NA,923,La Esperanza
NA,NA,924,Palestina de Los Altos
NA,NA,1001,Mazatenango
NA,NA,1002,Cuyotenango
NA,NA,1003,San Francisco Zapotitlán
NA,NA,1004,San Bernardino
NA,NA,1005,San José El Ídolo
NA,NA,1006,Santo Domingo Suchitepéquez
NA,NA,1007,San Lorenzo
NA,NA,1008,Samayac
NA,NA,1009,San Pablo Jocopilas
NA,NA,1010,San Antonio Suchitepéquez
NA,NA,1011,San Miguel Panán
NA,NA,1012,San Gabriel
NA,NA,1013,Chicacao
NA,NA,1014,Patulul
NA,NA,1015,Santa Bárbara
NA,NA,1016,San Juan Bautista
NA,NA,1017,Santo Tomás La Unión
NA,NA,1018,Zunilito
NA,NA,1019,Pueblo Nuevo
NA,NA,1020,Rio Bravo
NA,NA,1021,San José La Máquina
NA,NA,1101,Retalhuleu
NA,NA,1102,San Sebastián
NA,NA,1103,Santa Cruz Muluá
NA,NA,1104,San Martín Zapotitlán
NA,NA,1105,San Felipe
NA,NA,1106,San Andrés Villa Seca
NA,NA,1107,Champerico
NA,NA,1108,Nuevo San Carlos
NA,NA,1109,El Asintal
NA,NA,1201,San Marcos
NA,NA,1202,San Pedro Sacatepéquez
NA,NA,1203,San Antonio Sacatepéquez
NA,NA,1204,Comitancillo
NA,NA,1205,San Miguel Ixtahuacán
NA,NA,1206,Concepción Tutuapa
NA,NA,1207,Tacaná
NA,NA,1208,Sibinal
NA,NA,1209,Tajumulco
NA,NA,1210,Tejutla
NA,NA,1211,San Rafael Pie de La Cuesta
NA,NA,1212,Nuevo Progreso
NA,NA,1213,El Tumbador
NA,NA,1214,El Rodeo
NA,NA,1215,Malacatán
NA,NA,1216,Catarina
NA,NA,1217,Ayutla
NA,NA,1218,Ocós
NA,NA,1219,San Pablo
NA,NA,1220,El Quetzal
NA,NA,1221,La Reforma
NA,NA,1222,Pajapita
NA,NA,1223,Ixchiguán
NA,NA,1224,San José Ojetenam
NA,NA,1225,San Cristóbal Cucho
NA,NA,1226,Sipacapa
NA,NA,1227,Esquipulas Palo Gordo
NA,NA,1228,Rio Blanco
NA,NA,1229,San Lorenzo
NA,NA,1230,La Blanca
NA,NA,1301,Huehuetenango
NA,NA,1302,Chiantla
NA,NA,1303,Malacatancito
NA,NA,1304,Cuilco
NA,NA,1305,Nentón
NA,NA,1306,San Pedro Necta
NA,NA,1307,Jacaltenango
NA,NA,1308,Soloma
NA,NA,1309,Ixtahuacán
NA,NA,1310,Santa Bárbara
NA,NA,1311,La Libertad
NA,NA,1312,La Democracia
NA,NA,1313,San Miguel Acatán
NA,NA,1314,San Rafael La Independencia
NA,NA,1315,Todos Santos Cuchumatán
NA,NA,1316,San Juan Atitán
NA,NA,1317,Santa Eulalia
NA,NA,1318,San Mateo Ixtatán
NA,NA,1319,Colotenango
NA,NA,1320,San Sebastián Huehuetenango
NA,NA,1321,Tectitán
NA,NA,1322,Concepción Huista
NA,NA,1323,San Juan Ixcoy
NA,NA,1324,San Antonio Huista
NA,NA,1325,San Sebastián Coatán
NA,NA,1326,Barillas
NA,NA,1327,Aguacatán
NA,NA,1328,San Rafael Petzal
NA,NA,1329,San Gaspar Ixchil
NA,NA,1330,Santiago Chimaltenango
NA,NA,1331,Santa Ana Huista
NA,NA,1332,Unión Cantinil
NA,NA,1333,Petatán
NA,NA,1401,Santa Cruz del Quiché
NA,NA,1402,Chiché
NA,NA,1403,Chinique
NA,NA,1404,Zacualpa
NA,NA,1405,Chajul
NA,NA,1406,Chichicastenango
NA,NA,1407,Patzité
NA,NA,1408,San Antonio Ilotenango
NA,NA,1409,San Pedro Jocopilas
NA,NA,1410,Cunén
NA,NA,1411,San Juan Cotzal
NA,NA,1412,Joyabaj
NA,NA,1413,Nebaj
NA,NA,1414,San Andrés Sajcabajá
NA,NA,1415,Uspantán
NA,NA,1416,Sacapulas
NA,NA,1417,San Bartolomé Jocotenango
NA,NA,1418,Canillá
NA,NA,1419,Chicamán
NA,NA,1420,Ixcán
NA,NA,1421,Pachalum
NA,NA,1501,Salamá
NA,NA,1502,San Miguel Chicaj
NA,NA,1503,Rabinal
NA,NA,1504,Cubulco
NA,NA,1505,Granados
NA,NA,1506,El Chol
NA,NA,1507,San Jerónimo
NA,NA,1508,Purulhá
NA,NA,1601,Cobán
NA,NA,1602,Santa Cruz Verapaz
NA,NA,1603,San Cristóbal Verapaz
NA,NA,1604,Tactic
NA,NA,1605,Tamahú
NA,NA,1606,Tucurú
NA,NA,1607,Panzós
NA,NA,1608,Senahú
NA,NA,1609,San Pedro Carchá
NA,NA,1610,San Juan Chamelco
NA,NA,1611,Lanquín
NA,NA,1612,Cahabón
NA,NA,1613,Chisec
NA,NA,1614,Chahal
NA,NA,1615,Fray Bartolomé de Las Casas
NA,NA,1616,Santa Catalina la Tinta
NA,NA,1617,Raxruhá
NA,NA,1701,Flores
NA,NA,1702,San José
NA,NA,1703,San Benito
NA,NA,1704,San Andrés
NA,NA,1705,La Libertad
NA,NA,1706,San Francisco
NA,NA,1707,Santa Ana
NA,NA,1708,Dolores
NA,NA,1709,San Luis
NA,NA,1710,Sayaxché
NA,NA,1711,Melchor de Mencos
NA,NA,1712,Poptún
NA,NA,1713,Las Cruces
NA,NA,1714,El Chal
NA,NA,1801,Puerto Barrios
NA,NA,1802,Livingston
NA,NA,1803,El Estor
NA,NA,1804,Morales
NA,NA,1805,Los Amates
NA,NA,1901,Zacapa
NA,NA,1902,Estanzuela
NA,NA,1903,Río Hondo
NA,NA,1904,Gualán
NA,NA,1905,Teculután
NA,NA,1906,Usumatlán
NA,NA,1907,Cabañas
NA,NA,1908,San Diego
NA,NA,1909,La Unión
NA,NA,1910,Huité
NA,NA,1911,San Jorge
NA,NA,2001,Chiquimula
NA,NA,2002,San José La Arada
NA,NA,2003,San Juan Erminta
NA,NA,2004,Jocotán
NA,NA,2005,Camotán
NA,NA,2006,Olopa
NA,NA,2007,Esquipulas
NA,NA,2008,Concepción Las Minas
NA,NA,2009,Quetzaltepeque
NA,NA,2010,San Jacinto
NA,NA,2011,Ipala
NA,NA,2101,Jalapa
NA,NA,2102,San Pedro Pinula
NA,NA,2103,San Luis Jilotepeque
NA,NA,2104,San Manuel Chaparrón
NA,NA,2105,San Carlos Alzatate
NA,NA,2106,Monjas
NA,NA,2107,Mataquescuintla
NA,NA,2201,Jutiapa
NA,NA,2202,El Progreso
NA,NA,2203,Santa Catarina Mita
NA,NA,2204,Agua Blanca
NA,NA,2205,Asunción Mita
NA,NA,2206,Yupiltepeque
NA,NA,2207,Atescatempa
NA,NA,2208,Jerez
NA,NA,2209,El Adelanto
NA,NA,2210,Zapotitlán
NA,NA,2211,Comapa
NA,NA,2212,Jalpatagua
NA,NA,2213,Conguaco
NA,NA,2214,Moyuta
NA,NA,2215,Pasaco
NA,NA,2216,San José Acatempa
NA,NA,2217,Quesada
NA,NA,NA,NA
QUIEN_REPORTA,Persona que reporta el hecho,1,Víctima
NA,NA,2,Familiar de la víctima
NA,NA,3,Otro
NA,NA,9,Ignorado
NA,NA,NA,NA
DATOS GENERALES DE LA VÍCTIMA,NA,NA,NA
NA,NA,NA,NA
VIC_SEXO,Sexo de la víctima,1,Hombre
NA,NA,2,Mujer
NA,NA,NA,NA
VIC_EDAD,Edad de la víctima,1 a 98,Edad de la víctima
NA,NA,99,Edad ignorada de la víctima
NA,NA,NA,NA
TOTAL_HIJOS,Suma  de hijos hombres e hijas mujeres,00 a 20,Total de hijos e Hijas
NA,NA,99,Ignorado
NA,NA,NA,NA
NUM_HIJ_HOM,Número de hijos hombres de la víctima,00 a 20,Hijos hombres
NA,NA,99,Ignorado
NA,NA,NA,NA
NUM_HIJ_MUJ,Número de hijas mujeres de la víctima,00 a 20,Hijas mujeres
NA,NA,99,Ignorado
NA,NA,NA,NA
VIC_ALFAB,Sabe leer y escribir,1,Alfabeta
NA,NA,2,Analfabeta
NA,NA,9,Ignorado
NA,NA,NA,NA
VIC_ESCOLARIDAD,Nivel de escolaridad de la víctima,10,Ninguno
NA,NA,21 a 26,Primero a sexto primaria
NA,NA,29,Primaria (grado ignorado)
NA,NA,31 a 33,Primero a tercero básico
NA,NA,39,Básico (grado ignorado)
NA,NA,44 a 46,Cuarto a sexto diversificado
NA,NA,49,Diversificado (grado ignorado)
NA,NA,51 a  57,Primer año a séptimo universitario (Incluye maestría)
NA,NA,59,Universitario (año ignorado)
NA,NA,99,Ignorado (tanto nivel como grado)
NA,NA,NA,NA
VIC_EST_CIV,Estado conyugal de la víctima,1,Soltero(a)
NA,NA,2,Casado(a)
NA,NA,3,Unido(a) (Unión declarada o no)
NA,NA,4,Viudo(a)
NA,NA,5,Otro
NA,NA,9,Ignorado
NA,NA,NA,NA
VIC_GRUPET,Pueblo de pertenencia de la víctima,1,Ladino(a)
NA,NA,2,Maya
NA,NA,3,Garífuna
NA,NA,4,Xinka
NA,NA,5,Otro
NA,NA,6,No indica
NA,NA,9,Ignorado
NA,NA,NA,NA
VIC_NACIONAL,Nacionalidad de la víctima,1,Guatemalteca
NA,NA,2,Extranjera
NA,NA,9,Ignorado
NA,NA,NA,NA
VIC_TRABAJA,Condición de empleo de la víctima,1,Si trabaja por un salario o ingreso
NA,NA,2,No trabaja por un salario o ingreso
NA,NA,9,Ignorado
NA,NA,NA,NA
VIC_OCUP,"Ocupación de la víctima (con salario o ingreso dentro o fuera de la casa), Clasificación Internacional Uniforme de Ocupaciones -CIUO- 08",1111,Miembros del poder legislativo
NA,NA,1112,Personal directivo de la administración pública
NA,NA,1113,Jefes de pequeñas poblaciones
NA,NA,1114,Dirigentes de organizaciones que presentan un interés especial
NA,NA,1120,Directores generales y gerentes generales
NA,NA,1211,Directores financieros
NA,NA,1212,Directores de recursos humanos
NA,NA,1213,Directores de políticas y planificación
NA,NA,1219,Directores de administración y servicios no clasificados bajo otros epígrafes
NA,NA,1221,Directores de ventas y comercialización
NA,NA,1222,Directores de publicidad y relaciones públicas
NA,NA,1223,Directores de investigación y desarrollo
NA,NA,1311,Directores de producción agropecuaria y silvicultura
NA,NA,1312,Directores de producción de piscicultura y pesca
NA,NA,1321,Directores de industrias manufactureras
NA,NA,1322,Directores de explotaciones de minería
NA,NA,1323,Directores de empresas de construcción
NA,NA,1324,"Directores de empresas de abastecimiento, distribución y afines"
NA,NA,1330,Directores de servicios de tecnología de la información y las comunicaciones
NA,NA,1341,Directores de servicios de cuidados infantiles
NA,NA,1342,Directores de servicios de salud
NA,NA,1343,Directores de servicios de cuidado de las personas de edad
NA,NA,1344,Directores de servicios de bienestar social
NA,NA,1345,Directores de servicios de educación
NA,NA,1346,"Gerentes de sucursales de bancos, de servicios financieros y de seguros"
NA,NA,1349,Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes
NA,NA,1411,Gerentes de hoteles
NA,NA,1412,Gerentes de restaurantes
NA,NA,1420,Gerentes de comercios al por mayor y al por menor
NA,NA,1431,"Gerentes de centros deportivos, de esparcimiento y culturales"
NA,NA,1439,Gerentes de servicios no clasificados bajo otros epígrafes
NA,NA,2111,Físicos y astrónomos
NA,NA,2112,Meteorólogos
NA,NA,2113,Químicos
NA,NA,2114,Geólogos y geofísicos
NA,NA,2120,"Matemáticos, actuarios y estadísticos"
NA,NA,2131,"Biólogos, botánicos, zoólogos y afines"
NA,NA,2132,Agrónomos y afines
NA,NA,2133,Profesionales de la protección medioambiental
NA,NA,2141,Ingenieros industriales y de producción
NA,NA,2142,Ingenieros civiles
NA,NA,2143,Ingenieros medioambientales
NA,NA,2144,Ingenieros mecánicos
NA,NA,2145,Ingenieros químicos
NA,NA,2146,"Ingenieros de minas, metalúrgicos y afines"
NA,NA,2149,Ingenieros no clasificados bajo otros epígrafes
NA,NA,2151,Ingenieros electricistas
NA,NA,2152,Ingenieros electrónicos
NA,NA,2153,Ingenieros en telecomunicaciones
NA,NA,2161,Arquitectos
NA,NA,2162,Arquitectos paisajistas
NA,NA,2163,Diseñadores de productos y de prendas
NA,NA,2164,Urbanistas e ingenieros de tránsito
NA,NA,2165,Cartógrafos y agrimensores
NA,NA,2166,Diseñadores gráficos y multimedia
NA,NA,2211,Médicos generales
NA,NA,2212,Médicos especialistas
NA,NA,2221,Profesionales de enfermería
NA,NA,2222,Profesionales de partería
NA,NA,2230,Profesionales de medicina tradicional y alternativa
NA,NA,2240,Practicantes paramédicos
NA,NA,2250,Veterinarios
NA,NA,2261,Dentistas
NA,NA,2262,Farmacéuticos
NA,NA,2263,Profesionales de la salud y la higiene laboral y ambiental
NA,NA,2264,Fisioterapeutas
NA,NA,2265,Dietistas y nutricionistas
NA,NA,2266,Audiólogos y logopedas
NA,NA,2267,Optometristas
NA,NA,2269,Profesionales de la salud no clasificados bajo otros epígrafes
NA,NA,2310,Profesores de universidades y de la enseñanza superior
NA,NA,2320,Profesores de formación profesional
NA,NA,2330,Profesores de enseñanza secundaria
NA,NA,2341,Maestros de enseñanza primaria
NA,NA,2342,Maestros preescolares
NA,NA,2351,Especialistas en métodos pedagógicos
NA,NA,2352,Educadores para necesidades especiales
NA,NA,2353,Otros profesores de idiomas
NA,NA,2354,Otros profesores de música
NA,NA,2355,Otros profesores de artes
NA,NA,2356,Instructores en tecnología de la información
NA,NA,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
NA,NA,2411,Contables
NA,NA,2412,Asesores financieros y en inversiones
NA,NA,2413,Analistas financieros
NA,NA,2421,Analistas de gestión y organización
NA,NA,2422,Especialistas en políticas de administración
NA,NA,2423,Especialistas en políticas y servicios de personal y afines
NA,NA,2424,Especialistas en formación del personal
NA,NA,2431,Profesionales de la publicidad y la comercialización
NA,NA,2432,Profesionales de relaciones públicas
NA,NA,2433,Profesionales de ventas técnicas y médicas (excluyendo la TIC)
NA,NA,2434,Profesionales de ventas de tecnología de la información y las comunicaciones
NA,NA,2511,Analistas de sistemas
NA,NA,2512,Desarrolladores de software
NA,NA,2513,Desarrolladores web y multimedia
NA,NA,2514,Programadores de aplicaciones
NA,NA,2519,Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes
NA,NA,2521,Diseñadores y administradores de bases de datos
NA,NA,2522,Administradores de sistemas
NA,NA,2523,Profesionales en redes de computadores
NA,NA,2529,Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes
NA,NA,2611,Abogados
NA,NA,2612,Jueces
NA,NA,2619,Profesionales en derecho no clasificados bajo otros epígrafes
NA,NA,2621,Archivistas y curadores de museos
NA,NA,2622,"Bibliotecarios, documentalistas y afines"
NA,NA,2631,Economistas
NA,NA,2632,"Sociólogos, antropólogos y afines"
NA,NA,2633,"Filósofos, historiadores y especialistas en ciencias políticas"
NA,NA,2634,Psicólogos
NA,NA,2635,Profesionales del trabajo social
NA,NA,2636,Profesionales religiosos
NA,NA,2641,Autores y otros escritores
NA,NA,2642,Periodistas
NA,NA,2643,"Traductores, intérpretes y lingüistas"
NA,NA,2651,Artistas de artes plásticas
NA,NA,2652,"Músicos, cantantes y compositores"
NA,NA,2653,Bailarines y coreógrafos
NA,NA,2654,"Directores de cine, de teatro y afines"
NA,NA,2655,Actores
NA,NA,2656,"Locutores de radio, televisión y otros medios de comunicación"
NA,NA,2659,Artistas creativos e interpretativos no clasificados bajo otros epígrafes
NA,NA,3111,Técnicos en ciencias físicas y químicas
NA,NA,3112,Técnicos en ingeniería civil
NA,NA,3113,Electrotécnicos
NA,NA,3114,Técnicos en electrónica
NA,NA,3115,Técnicos en ingeniería mecánica
NA,NA,3116,Técnicos en química industrial
NA,NA,3117,Técnicos en ingeniería de minas y metalurgia
NA,NA,3118,Delineantes y dibujantes técnicos
NA,NA,3119,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes
NA,NA,3121,Supervisores en ingeniería de minas
NA,NA,3122,Supervisores de industrias manufactureras
NA,NA,3123,Supervisores de la construcción
NA,NA,3131,Operadores de instalaciones de producción de energía
NA,NA,3132,"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
NA,NA,3133,Controladores de instalaciones de procesamiento de productos químicos
NA,NA,3134,Operadores de instalaciones de refinación de petróleo y gas natural
NA,NA,3135,Controladores de procesos de producción de metales
NA,NA,3139,Técnicos en control de procesos no clasificados bajo otros epígrafes
NA,NA,3141,Técnicos en ciencias biológicas (excluyendo la medicina)
NA,NA,3142,Técnicos agropecuarios
NA,NA,3143,Técnicos forestales
NA,NA,3151,Oficiales maquinistas en navegación
NA,NA,3152,"Capitanes, oficiales de cubierta y prácticos"
NA,NA,3153,Pilotos de aviación y afines
NA,NA,3154,Controladores de tráfico aéreo
NA,NA,3155,Técnicos en seguridad aeronáutica
NA,NA,3211,Técnicos en aparatos de diagnóstico y tratamiento médico
NA,NA,3212,Técnicos de laboratorios médicos
NA,NA,3213,Técnicos y asistentes farmacéuticos
NA,NA,3214,Técnicos de prótesis médicas y dentales
NA,NA,3221,Profesionales de nivel medio de enfermería
NA,NA,3222,Profesionales de nivel medio de partería
NA,NA,3230,Profesionales de nivel medio de medicina tradicional y alternativa
NA,NA,3240,Técnicos y asistentes veterinarios
NA,NA,3251,Dentistas auxiliares y ayudantes de odontología
NA,NA,3252,Técnicos en documentación sanitaria
NA,NA,3253,Trabajadores comunitarios de la salud
NA,NA,3254,Técnicos en optometría y ópticos
NA,NA,3255,Técnicos y asistentes fisioterapeutas
NA,NA,3256,Practicantes y asistentes médicos
NA,NA,3257,"Inspectores de la salud laboral, medioambiental y afines"
NA,NA,3258,Ayudantes de ambulancias
NA,NA,3259,Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes
NA,NA,3311,"Agentes de bolsa, cambio y otros servicios financieros"
NA,NA,3312,Oficiales de préstamos y créditos
NA,NA,3313,Tenedores de libros
NA,NA,3314,"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines"
NA,NA,3315,Tasadores
NA,NA,3321,Agentes de seguros
NA,NA,3322,Representantes comerciales
NA,NA,3323,Agentes de compras
NA,NA,3324,Agentes de compras y consignatarios
