ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR,...2,...3,...4
NA,NA,912,San Martín Sacatepéquez
NA,NA,913,Almolonga
NA,NA,914,Cantel
NA,NA,915,Huitán
NA,NA,916,Zunil
NA,NA,917,Colomba
NA,NA,918,San Francisco La Unión
NA,NA,919,El Palmar
NA,NA,920,Coatepeque
NA,NA,921,Génova
NA,NA,922,Flores Costa Cuca
NA,NA,923,La Esperanza
NA,NA,924,Palestina de Los Altos
NA,NA,1001,Mazatenango
NA,NA,1002,Cuyotenango
NA,NA,1003,San Francisco Zapotitlán
NA,NA,1004,San Bernardino
NA,NA,1005,San José El Ídolo
NA,NA,1006,Santo Domingo Suchitepéquez
NA,NA,1007,San Lorenzo
NA,NA,1008,Samayac
NA,NA,1009,San Pablo Jocopilas
NA,NA,1010,San Antonio Suchitepéquez
NA,NA,1011,San Miguel Panán
NA,NA,1012,San Gabriel
NA,NA,1013,Chicacao
NA,NA,1014,Patulul
NA,NA,1015,Santa Bárbara
NA,NA,1016,San Juan Bautista
NA,NA,1017,Santo Tomás La Unión
NA,NA,1018,Zunilito
NA,NA,1019,Pueblo Nuevo
NA,NA,1020,Rio Bravo
NA,NA,1021,San José La Máquina
NA,NA,1101,Retalhuleu
NA,NA,1102,San Sebastián
NA,NA,1103,Santa Cruz Muluá
NA,NA,1104,San Martín Zapotitlán
NA,NA,1105,San Felipe
NA,NA,1106,San Andrés Villa Seca
NA,NA,1107,Champerico
NA,NA,1108,Nuevo San Carlos
NA,NA,1109,El Asintal
NA,NA,1201,San Marcos
NA,NA,1202,San Pedro Sacatepéquez
NA,NA,1203,San Antonio Sacatepéquez
NA,NA,1204,Comitancillo
NA,NA,1205,San Miguel Ixtahuacán
NA,NA,1206,Concepción Tutuapa
NA,NA,1207,Tacaná
NA,NA,1208,Sibinal
NA,NA,1209,Tajumulco
NA,NA,1210,Tejutla
NA,NA,1211,San Rafael Pie de La Cuesta
NA,NA,1212,Nuevo Progreso
NA,NA,1213,El Tumbador
NA,NA,1214,El Rodeo
NA,NA,1215,Malacatán
NA,NA,1216,Catarina
NA,NA,1217,Ayutla
NA,NA,1218,Ocós
NA,NA,1219,San Pablo
NA,NA,1220,El Quetzal
NA,NA,1221,La Reforma
NA,NA,1222,Pajapita
NA,NA,1223,Ixchiguán
NA,NA,1224,San José Ojetenam
NA,NA,1225,San Cristóbal Cucho
NA,NA,1226,Sipacapa
NA,NA,1227,Esquipulas Palo Gordo
NA,NA,1228,Rio Blanco
NA,NA,1229,San Lorenzo
NA,NA,1230,La Blanca
NA,NA,1301,Huehuetenango
NA,NA,1302,Chiantla
NA,NA,1303,Malacatancito
NA,NA,1304,Cuilco
NA,NA,1305,Nentón
NA,NA,1306,San Pedro Necta
NA,NA,1307,Jacaltenango
NA,NA,1308,Soloma
NA,NA,1309,Ixtahuacán
NA,NA,1310,Santa Bárbara
NA,NA,1311,La Libertad
NA,NA,1312,La Democracia
NA,NA,1313,San Miguel Acatán
NA,NA,1314,San Rafael La Independencia
NA,NA,1315,Todos Santos Cuchumatán
NA,NA,1316,San Juan Atitán
NA,NA,1317,Santa Eulalia
NA,NA,1318,San Mateo Ixtatán
NA,NA,1319,Colotenango
NA,NA,1320,San Sebastián Huehuetenango
NA,NA,1321,Tectitán
NA,NA,1322,Concepción Huista
NA,NA,1323,San Juan Ixcoy
NA,NA,1324,San Antonio Huista
NA,NA,1325,San Sebastián Coatán
NA,NA,1326,Barillas
NA,NA,1327,Aguacatán
NA,NA,1328,San Rafael Petzal
NA,NA,1329,San Gaspar Ixchil
NA,NA,1330,Santiago Chimaltenango
NA,NA,1331,Santa Ana Huista
NA,NA,1332,Unión Cantinil
NA,NA,1333,Petatán
NA,NA,1401,Santa Cruz del Quiché
NA,NA,1402,Chiché
NA,NA,1403,Chinique
NA,NA,1404,Zacualpa
NA,NA,1405,Chajul
NA,NA,1406,Chichicastenango
NA,NA,1407,Patzité
NA,NA,1408,San Antonio Ilotenango
NA,NA,1409,San Pedro Jocopilas
NA,NA,1410,Cunén
NA,NA,1411,San Juan Cotzal
NA,NA,1412,Joyabaj
NA,NA,1413,Nebaj
NA,NA,1414,San Andrés Sajcabajá
NA,NA,1415,Uspantán
NA,NA,1416,Sacapulas
NA,NA,1417,San Bartolomé Jocotenango
NA,NA,1418,Canillá
NA,NA,1419,Chicamán
NA,NA,1420,Ixcán
NA,NA,1421,Pachalum
NA,NA,1501,Salamá
NA,NA,1502,San Miguel Chicaj
NA,NA,1503,Rabinal
NA,NA,1504,Cubulco
NA,NA,1505,Granados
NA,NA,1506,El Chol
NA,NA,1507,San Jerónimo
NA,NA,1508,Purulhá
NA,NA,1601,Cobán
NA,NA,1602,Santa Cruz Verapaz
NA,NA,1603,San Cristóbal Verapaz
NA,NA,1604,Tactic
NA,NA,1605,Tamahú
NA,NA,1606,Tucurú
NA,NA,1607,Panzós
NA,NA,1608,Senahú
NA,NA,1609,San Pedro Carchá
NA,NA,1610,San Juan Chamelco
NA,NA,1611,Lanquín
NA,NA,1612,Cahabón
NA,NA,1613,Chisec
NA,NA,1614,Chahal
NA,NA,1615,Fray Bartolomé de Las Casas
NA,NA,1616,Santa Catalina la Tinta
NA,NA,1617,Raxruhá
NA,NA,1701,Flores
NA,NA,1702,San José
NA,NA,1703,San Benito
NA,NA,1704,San Andrés
NA,NA,1705,La Libertad
NA,NA,1706,San Francisco
NA,NA,1707,Santa Ana
NA,NA,1708,Dolores
NA,NA,1709,San Luis
NA,NA,1710,Sayaxché
NA,NA,1711,Melchor de Mencos
NA,NA,1712,Poptún
NA,NA,1713,Las Cruces
NA,NA,1714,El Chal
NA,NA,1801,Puerto Barrios
NA,NA,1802,Livingston
NA,NA,1803,El Estor
NA,NA,1804,Morales
NA,NA,1805,Los Amates
NA,NA,1901,Zacapa
NA,NA,1902,Estanzuela
NA,NA,1903,Río Hondo
NA,NA,1904,Gualán
NA,NA,1905,Teculután
NA,NA,1906,Usumatlán
NA,NA,1907,Cabañas
NA,NA,1908,San Diego
NA,NA,1909,La Unión
NA,NA,1910,Huité
NA,NA,1911,San Jorge
NA,NA,2001,Chiquimula
NA,NA,2002,San José La Arada
NA,NA,2003,San Juan Erminta
NA,NA,2004,Jocotán
NA,NA,2005,Camotán
NA,NA,2006,Olopa
NA,NA,2007,Esquipulas
NA,NA,2008,Concepción Las Minas
NA,NA,2009,Quetzaltepeque
NA,NA,2010,San Jacinto
NA,NA,2011,Ipala
NA,NA,2101,Jalapa
NA,NA,2102,San Pedro Pinula
NA,NA,2103,San Luis Jilotepeque
NA,NA,2104,San Manuel Chaparrón
NA,NA,2105,San Carlos Alzatate
NA,NA,2106,Monjas
NA,NA,2107,Mataquescuintla
NA,NA,2201,Jutiapa
NA,NA,2202,El Progreso
NA,NA,2203,Santa Catarina Mita
NA,NA,2204,Agua Blanca
NA,NA,2205,Asunción Mita
NA,NA,2206,Yupiltepeque
NA,NA,2207,Atescatempa
NA,NA,2208,Jerez
NA,NA,2209,El Adelanto
NA,NA,2210,Zapotitlán
NA,NA,2211,Comapa
NA,NA,2212,Jalpatagua
NA,NA,2213,Conguaco
NA,NA,2214,Moyuta
NA,NA,2215,Pasaco
NA,NA,2216,San José Acatempa
NA,NA,2217,Quesada
NA,NA,9999,Ignorado
NA,NA,NA,NA
HEC_AREA,Área geográfica de ocurrencia,1,Urbana
NA,NA,2,Rural
NA,NA,9,Ignorado
NA,NA,NA,NA
HEC_TIPAGRE,Tipo de agresión sufrida por la víctima,1222,Física
NA,NA,2122,Psicológica
NA,NA,2212,Sexual
NA,NA,2221,Patrimonial
NA,NA,1122,Física - psicológica
NA,NA,1212,Física - sexual
NA,NA,1221,Física - patrimonial
NA,NA,2112,Psicológica - sexual
NA,NA,2121,Psicológica - patrimonial
NA,NA,2211,Sexual - patrimonial
NA,NA,1112,Física - psicológica - sexual
NA,NA,1121,Física - psicológica - patrimonial
NA,NA,2111,Psicológica - sexual - patrimonial
NA,NA,1211,Física - sexual - patrimonial
NA,NA,1111,Física - psicológica - sexual - patrimonial
NA,NA,NA,NA
HEC_RECUR_DENUN,Reiteración de la denuncia (ha denunciado con anterioridad),1,Si
NA,NA,2,No
NA,NA,9,Ignorado
NA,NA,NA,NA
INST_DONDE_DENUNCIO,En que institución denunció anteriormente,1,Ministerio Público
NA,NA,2,Procuraduría General de la Nación
NA,NA,3,Policía Nacional Civil
NA,NA,4,Organismo Judicial
NA,NA,5,Bufetes Populares
NA,NA,6,Procuraduría de los Derechos Humanos
NA,NA,9,Ignorado
NA,NA,NA,NA
DATOS DEL AGRESOR,NA,NA,NA
NA,NA,NA,NA
AGR_SEXO,Sexo del(a) agresor(a),1,Hombre
NA,NA,2,Mujer
NA,NA,NA,NA
AGR_EDAD,Edad del(a) agresor(a),1 a  98,Edad del(a) agresor(a)
NA,NA,99,Ignorado
NA,NA,NA,NA
AGR_ALFAB,Sabe leer y escribir,1,Alfabeta
NA,NA,2,Analfabeta
NA,NA,9,Ignorado
NA,NA,NA,NA
AGR_ESCOLARIDAD,Nivel de escolaridad del(a) agresor(a),10,Ninguno
NA,NA,21 a 26,Primero a sexto primaria
NA,NA,29,Primaria (grado ignorado)
NA,NA,31 a 33,Primero a tercero básico
NA,NA,39,Básico (grado ignorado)
NA,NA,44 a 46,Cuarto a sexto diversificado
NA,NA,49,Diversificado (grado ignorado)
NA,NA,51 a  57,Primer año a séptimo universitario (Incluye maestría)
NA,NA,59,Universitario (año ignorado)
NA,NA,99,Ignorado (tanto nivel como grado)
NA,NA,NA,NA
AGR_EST_CIV,Estado conyugal del (a) agresor(a),1,Soltero(a)
NA,NA,2,Casado(a)
NA,NA,3,Unido(a)
NA,NA,4,Viudo(a)
NA,NA,5,Otro
NA,NA,9,Ignorado
NA,NA,NA,NA
AGR_GRUPET,Pueblo de pertenencia del agresor(a),1,Ladino
NA,NA,2,Maya
NA,NA,3,Garífuna
NA,NA,4,Xinka
NA,NA,5,Otro
NA,NA,6,No indica
NA,NA,9,Ignorado
NA,NA,NA,NA
AGR_NACIONAL,Nacionalidad del(a) agresor(a),1,Guatemalteca
NA,NA,2,Extranjera
NA,NA,9,Ignorado
NA,NA,NA,NA
AGR_TRABAJA,Condición de empleo del(a) agresor(a),1,Si trabaja por un salario o ingreso
NA,NA,2,No trabaja por un salario o ingreso
NA,NA,9,Ignorado
NA,NA,NA,NA
AGR_OCUP,"Ocupación del (a) agresor(a) (con salario o ingreso dentro o fuera de la casa), Clasificación Internacional Uniforme de Ocupaciones -CIUO- 08",1111,Miembros del poder legislativo
NA,NA,1112,Personal directivo de la administración pública
NA,NA,1113,Jefes de pequeñas poblaciones
NA,NA,1114,Dirigentes de organizaciones que presentan un interés especial
NA,NA,1120,Directores generales y gerentes generales
NA,NA,1211,Directores financieros
NA,NA,1212,Directores de recursos humanos
NA,NA,1213,Directores de políticas y planificación
NA,NA,1219,Directores de administración y servicios no clasificados bajo otros epígrafes
NA,NA,1221,Directores de ventas y comercialización
NA,NA,1222,Directores de publicidad y relaciones públicas
NA,NA,1223,Directores de investigación y desarrollo
NA,NA,1311,Directores de producción agropecuaria y silvicultura
NA,NA,1312,Directores de producción de piscicultura y pesca
NA,NA,1321,Directores de industrias manufactureras
NA,NA,1322,Directores de explotaciones de minería
NA,NA,1323,Directores de empresas de construcción
NA,NA,1324,"Directores de empresas de abastecimiento, distribución y afines"
NA,NA,1330,Directores de servicios de tecnología de la información y las comunicaciones
NA,NA,1341,Directores de servicios de cuidados infantiles
NA,NA,1342,Directores de servicios de salud
NA,NA,1343,Directores de servicios de cuidado de las personas de edad
NA,NA,1344,Directores de servicios de bienestar social
NA,NA,1345,Directores de servicios de educación
NA,NA,1346,"Gerentes de sucursales de bancos, de servicios financieros y de seguros"
NA,NA,1349,Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes
NA,NA,1411,Gerentes de hoteles
NA,NA,1412,Gerentes de restaurantes
NA,NA,1420,Gerentes de comercios al por mayor y al por menor
NA,NA,1431,"Gerentes de centros deportivos, de esparcimiento y culturales"
NA,NA,1439,Gerentes de servicios no clasificados bajo otros epígrafes
NA,NA,2111,Físicos y astrónomos
NA,NA,2112,Meteorólogos
NA,NA,2113,Químicos
NA,NA,2114,Geólogos y geofísicos
NA,NA,2120,"Matemáticos, actuarios y estadísticos"
NA,NA,2131,"Biólogos, botánicos, zoólogos y afines"
NA,NA,2132,Agrónomos y afines
NA,NA,2133,Profesionales de la protección medioambiental
NA,NA,2141,Ingenieros industriales y de producción
NA,NA,2142,Ingenieros civiles
NA,NA,2143,Ingenieros medioambientales
NA,NA,2144,Ingenieros mecánicos
NA,NA,2145,Ingenieros químicos
NA,NA,2146,"Ingenieros de minas, metalúrgicos y afines"
NA,NA,2149,Ingenieros no clasificados bajo otros epígrafes
NA,NA,2151,Ingenieros electricistas
NA,NA,2152,Ingenieros electrónicos
NA,NA,2153,Ingenieros en telecomunicaciones
NA,NA,2161,Arquitectos
NA,NA,2162,Arquitectos paisajistas
NA,NA,2163,Diseñadores de productos y de prendas
NA,NA,2164,Urbanistas e ingenieros de tránsito
NA,NA,2165,Cartógrafos y agrimensores
NA,NA,2166,Diseñadores gráficos y multimedia
NA,NA,2211,Médicos generales
NA,NA,2212,Médicos especialistas
NA,NA,2221,Profesionales de enfermería
NA,NA,2222,Profesionales de partería
NA,NA,2230,Profesionales de medicina tradicional y alternativa
NA,NA,2240,Practicantes paramédicos
NA,NA,2250,Veterinarios
NA,NA,2261,Dentistas
NA,NA,2262,Farmacéuticos
NA,NA,2263,Profesionales de la salud y la higiene laboral y ambiental
NA,NA,2264,Fisioterapeutas
NA,NA,2265,Dietistas y nutricionistas
NA,NA,2266,Audiólogos y logopedas
NA,NA,2267,Optometristas
NA,NA,2269,Profesionales de la salud no clasificados bajo otros epígrafes
NA,NA,2310,Profesores de universidades y de la enseñanza superior
NA,NA,2320,Profesores de formación profesional
NA,NA,2330,Profesores de enseñanza secundaria
NA,NA,2341,Maestros de enseñanza primaria
NA,NA,2342,Maestros preescolares
NA,NA,2351,Especialistas en métodos pedagógicos
NA,NA,2352,Educadores para necesidades especiales
NA,NA,2353,Otros profesores de idiomas
NA,NA,2354,Otros profesores de música
NA,NA,2355,Otros profesores de artes
NA,NA,2356,Instructores en tecnología de la información
NA,NA,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
NA,NA,2411,Contables
NA,NA,2412,Asesores financieros y en inversiones
NA,NA,2413,Analistas financieros
NA,NA,2421,Analistas de gestión y organización
NA,NA,2422,Especialistas en políticas de administración
NA,NA,2423,Especialistas en políticas y servicios de personal y afines
NA,NA,2424,Especialistas en formación del personal
NA,NA,2431,Profesionales de la publicidad y la comercialización
NA,NA,2432,Profesionales de relaciones públicas
NA,NA,2433,Profesionales de ventas técnicas y médicas (excluyendo la TIC)
NA,NA,2434,Profesionales de ventas de tecnología de la información y las comunicaciones
NA,NA,2511,Analistas de sistemas
NA,NA,2512,Desarrolladores de software
NA,NA,2513,Desarrolladores web y multimedia
NA,NA,2514,Programadores de aplicaciones
NA,NA,2519,Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes
NA,NA,2521,Diseñadores y administradores de bases de datos
NA,NA,2522,Administradores de sistemas
NA,NA,2523,Profesionales en redes de computadores
NA,NA,2529,Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes
NA,NA,2611,Abogados
NA,NA,2612,Jueces
NA,NA,2619,Profesionales en derecho no clasificados bajo otros epígrafes
NA,NA,2621,Archivistas y curadores de museos
NA,NA,2622,"Bibliotecarios, documentalistas y afines"
NA,NA,2631,Economistas
NA,NA,2632,"Sociólogos, antropólogos y afines"
NA,NA,2633,"Filósofos, historiadores y especialistas en ciencias políticas"
NA,NA,2634,Psicólogos
NA,NA,2635,Profesionales del trabajo social
NA,NA,2636,Profesionales religiosos
NA,NA,2641,Autores y otros escritores
NA,NA,2642,Periodistas
NA,NA,2643,"Traductores, intérpretes y lingüistas"
NA,NA,2651,Artistas de artes plásticas
NA,NA,2652,"Músicos, cantantes y compositores"
NA,NA,2653,Bailarines y coreógrafos
NA,NA,2654,"Directores de cine, de teatro y afines"
NA,NA,2655,Actores
NA,NA,2656,"Locutores de radio, televisión y otros medios de comunicación"
NA,NA,2659,Artistas creativos e interpretativos no clasificados bajo otros epígrafes
NA,NA,3111,Técnicos en ciencias físicas y químicas
NA,NA,3112,Técnicos en ingeniería civil
NA,NA,3113,Electrotécnicos
NA,NA,3114,Técnicos en electrónica
NA,NA,3115,Técnicos en ingeniería mecánica
NA,NA,3116,Técnicos en química industrial
NA,NA,3117,Técnicos en ingeniería de minas y metalurgia
NA,NA,3118,Delineantes y dibujantes técnicos
NA,NA,3119,Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes
NA,NA,3121,Supervisores en ingeniería de minas
NA,NA,3122,Supervisores de industrias manufactureras
NA,NA,3123,Supervisores de la construcción
NA,NA,3131,Operadores de instalaciones de producción de energía
NA,NA,3132,"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
NA,NA,3133,Controladores de instalaciones de procesamiento de productos químicos
NA,NA,3134,Operadores de instalaciones de refinación de petróleo y gas natural
NA,NA,3135,Controladores de procesos de producción de metales
NA,NA,3139,Técnicos en control de procesos no clasificados bajo otros epígrafes
NA,NA,3141,Técnicos en ciencias biológicas (excluyendo la medicina)
NA,NA,3142,Técnicos agropecuarios
NA,NA,3143,Técnicos forestales
NA,NA,3151,Oficiales maquinistas en navegación
NA,NA,3152,"Capitanes, oficiales de cubierta y prácticos"
NA,NA,3153,Pilotos de aviación y afines
NA,NA,3154,Controladores de tráfico aéreo
NA,NA,3155,Técnicos en seguridad aeronáutica
NA,NA,3211,Técnicos en aparatos de diagnóstico y tratamiento médico
NA,NA,3212,Técnicos de laboratorios médicos
NA,NA,3213,Técnicos y asistentes farmacéuticos
NA,NA,3214,Técnicos de prótesis médicas y dentales
NA,NA,3221,Profesionales de nivel medio de enfermería
NA,NA,3222,Profesionales de nivel medio de partería
NA,NA,3230,Profesionales de nivel medio de medicina tradicional y alternativa
NA,NA,3240,Técnicos y asistentes veterinarios
NA,NA,3251,Dentistas auxiliares y ayudantes de odontología
NA,NA,3252,Técnicos en documentación sanitaria
NA,NA,3253,Trabajadores comunitarios de la salud
NA,NA,3254,Técnicos en optometría y ópticos
NA,NA,3255,Técnicos y asistentes fisioterapeutas
NA,NA,3256,Practicantes y asistentes médicos
NA,NA,3257,"Inspectores de la salud laboral, medioambiental y afines"
NA,NA,3258,Ayudantes de ambulancias
NA,NA,3259,Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes
NA,NA,3311,"Agentes de bolsa, cambio y otros servicios financieros"
NA,NA,3312,Oficiales de préstamos y créditos
NA,NA,3313,Tenedores de libros
NA,NA,3314,"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines"
NA,NA,3315,Tasadores
NA,NA,3321,Agentes de seguros
NA,NA,3322,Representantes comerciales
NA,NA,3323,Agentes de compras
NA,NA,3324,Agentes de compras y consignatarios
NA,NA,3331,Declarantes o gestores de aduana
NA,NA,3332,Organizadores de conferencias y eventos
NA,NA,3333,Agentes de empleo y contratistas de mano de obra
NA,NA,3334,Agentes inmobiliarios
NA,NA,3339,Agentes de servicios comerciales no clasificados bajo otros epígrafes
NA,NA,3341,Supervisores de secretaría
NA,NA,3342,Secretarios jurídicos
NA,NA,3343,Secretarios administrativos y ejecutivos
NA,NA,3344,Secretarios médicos
NA,NA,3351,Agentes de aduana e inspectores de fronteras
NA,NA,3352,Agentes de administración tributaria
NA,NA,3353,Agentes de servicios de seguridad social
NA,NA,3354,Agentes de servicios de expedición de licencias y permisos
NA,NA,3355,Inspectores de policía y detectives
NA,NA,3359,Agentes de la administración pública para la aplicación de la ley y afines no clasificados bajo otros epígrafes
NA,NA,3411,Profesionales de nivel medio del derecho y servicios legales y afines
NA,NA,3412,Trabajadores y asistentes sociales de nivel medio
NA,NA,3413,Auxiliares laicos de las religiones
NA,NA,3421,Atletas y deportistas
NA,NA,3422,"Entrenadores, instructores y árbitros de actividades deportivas"
NA,NA,3423,Instructores de educación física y actividades recreativas
NA,NA,3431,Fotógrafos
NA,NA,3432,Diseñadores y decoradores de interior
NA,NA,3433,"Técnicos en galerías de arte, museos y bibliotecas"
NA,NA,3434,Chefs
NA,NA,3435,Otros profesionales de nivel medio en actividades culturales y artistas
NA,NA,3511,Técnicos en operaciones de tecnología de la información y las comunicaciones
NA,NA,3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones
NA,NA,3513,Técnicos en redes y sistemas de computadores
NA,NA,3514,Técnicos de la web
NA,NA,3521,Técnicos de radiodifusión y grabación audio visual
NA,NA,3522,Técnicos de ingeniería de las telecomunicaciones
NA,NA,4110,Oficinistas generales
NA,NA,4120,Secretarios (general)
NA,NA,4131,Operadores de máquinas de procesamiento de texto y mecanógrafos
NA,NA,4132,Grabadores de datos
NA,NA,4211,Cajeros de bancos y afines
NA,NA,4212,Receptores de apuestas y afines
NA,NA,4213,Prestamistas
NA,NA,4214,Cobradores y afines
NA,NA,4221,Empleados de agencias de viajes
NA,NA,4222,Empleados de centros de llamadas
NA,NA,4223,Telefonistas
NA,NA,4224,Recepcionistas de hoteles
NA,NA,4225,Empleados de ventanillas de informaciones
NA,NA,4226,Recepcionistas (general)
NA,NA,4227,Entrevistadores de encuestas y de investigaciones de mercados
NA,NA,4229,Empleados de servicios de información al cliente no clasificados bajo otros epígrafes
NA,NA,4311,Empleados de contabilidad y cálculo de costos
NA,NA,4312,"Empleados de servicios estadísticos, financieros y de seguros"
NA,NA,4313,Empleados encargados de las nóminas
NA,NA,4321,Empleados de control de abastecimientos e inventario
NA,NA,4322,Empleados de servicios de apoyo a la producción
NA,NA,4323,Empleados de servicios de transporte
NA,NA,4411,Empleados de bibliotecas
NA,NA,4412,Empleados de servicios de correos
NA,NA,4413,"Codificadores de datos, correctores de pruebas de imprenta y afines"
NA,NA,4414,Escribientes públicos y afines
NA,NA,4415,Empleados de archivos
NA,NA,4416,Empleados del servicio de personal
